"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Syndra","Middle",6,"15.8%","2.6%","18.4%","50%","50%",23,12,28,4.3,"73.9%","26.7%","50%",138,-101,1,8.9,"25.9%",558,"30.7%","24.6%",0.45,0.19
"Tahm Kench","Support",9,"23.7%","26.3%","50.0%","67%","44%",3,20,63,3.3,"56.4%","18.7%","22%",-19,-13,-0.8,1,"2.2%",119,"6.2%","7.6%",1.5,0.23
"Thresh","Support",13,"34.2%","21.1%","55.3%","54%","31%",11,32,108,3.7,"70.0%","25.8%","31%",110,-10,4.4,1.1,"2.6%",106,"5.9%","8.6%",1.39,0.35
"Trundle","-",0,"0%","13.2%","13.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",11,"28.9%","23.7%","52.6%","73%","27%",33,21,82,5.5,"70.1%","15.9%","55%",306,-47,-4.8,8.5,"26.1%",442,"21.3%","25.8%",0.39,0.13
"Vladimir","Top",3,"7.9%","0.0%","7.9%","33%","100%",6,11,14,1.8,"58.8%","22.4%","0%",-13,54,1,8,"25.4%",563,"26.1%","22.9%",0.42,0.14
"Volibear","Jungle",12,"31.6%","0.0%","31.6%","50%","67%",21,16,83,6.5,"74.8%","14.8%","25%",-172,-319,-5.4,4.9,"13.3%",220,"12.9%","16.2%",0.27,0.31
"Wukong","Top",1,"2.6%","0.0%","2.6%","0%","100%",2,5,2,0.8,"57.1%","27.8%","0%",-1957,-919,-31,6.8,"26.0%",370,"21.0%","22.4%",0.41,0.11
"Xayah","ADC",2,"5.3%","0.0%","5.3%","50%","100%",3,3,9,4,"66.7%","12.0%","0%",169,-114,9,9.6,"30.6%",452,"26.4%","26.0%",0.5,0.27
"Yuumi","Support",5,"13.2%","2.6%","15.8%","40%","20%",3,6,41,7.3,"73.3%","9.7%","20%",-84,411,-11.6,0.2,"0.5%",268,"12.1%","7.7%",1.15,0.03
"Ziggs","Middle",2,"5.3%","0.0%","5.3%","100%","100%",0,3,11,3.7,"57.9%","15.8%","0%",99,169,0.5,9.8,"30.2%",631,"32.6%","23.5%",0.49,0.18
"Zilean","Middle",3,"7.9%","21.1%","28.9%","100%","67%",9,5,28,7.4,"72.5%","14.3%","0%",-143,233,-7.3,8.7,"29.6%",496,"23.0%","23.3%",0.37,0.15
"Zoe","Middle",7,"18.4%","7.9%","26.3%","14%","43%",16,16,30,2.9,"64.8%","16.0%","29%",-107,-205,2.3,7.6,"21.7%",618,"29.3%","21.9%",0.42,0.15
"Zyra","Support",1,"2.6%","0.0%","2.6%","0%","100%",0,5,2,0.4,"40.0%","33.3%","0%",237,103,-6,0.8,"3.1%",316,"16.8%","8.1%",2.02,0.54
